set1,set2,set3,set4,set0
19.06216654891394,59.8167298925228,51.402496986037676,59.929741309571995,0
44.42107538387428,38.09220829075842,1.9378995251349558,-51.615351815316664,0
-5.471694568225315,37.88051006777897,40.01113398649904,44.004899407364235,0
76.84509476201754,23.89983402465871,-12.287738732187329,59.943409158541314,0
-36.26511649946383,36.34726916108899,48.71871654160897,-18.088951148167524,0
29.500208140407253,-46.562226681285246,32.30304374766025,40.12831564982488,0
25.579229088476175,44.14437262579849,59.21949738506049,51.500965113415,0
42.75704069553153,35.807347341358884,-37.36001510921094,24.401762299292923,0
14.79615071575651,-18.413672619447794,41.60570406337973,13.559831874808998,0
44.1637212238078,-8.393987487976217,49.78633979017221,-28.143907763651,0
27.899274200685948,5.2524699361522185,21.622810553460265,59.79206056380295,0
12.42518486417331,-0.4983669023849817,7.120444256407216,-51.521848797698134,0
55.28380171326695,43.20927055872644,49.62945932739228,60.608813831199264,0
15.990445634375114,-23.246895463054294,-78.33457642805013,53.7283523112533,0
11.1460122596055,32.00982195123804,-18.343109542871446,28.165819204600012,0
51.596100611757315,50.48395257400617,21.96243713486962,46.943327057457665,0
45.15814346781759,16.243305815861667,54.98560966138067,38.13272911908112,0
-9.055323285805319,-36.93116459700966,49.481054332477086,-28.85883210837352,0
41.84850999610711,7.702522301083976,45.11052658079811,1.9543428384975208,0
82.42462436095144,34.63849845292221,43.86687457052089,17.515430767399867,0
26.427080652056663,24.72447924363913,6.003632053272597,60.52723014161905,0
40.5772358204931,10.743557421638513,-4.690996946830044,32.138631495324965,0
-6.576437072231169,32.97147589182035,32.42241952246369,56.30624095052994,0
74.15455486101864,7.724421708747531,54.10845858800572,65.28479237329333,0
6.536896773385761,46.8014356731144,47.937673121697685,7.185238294823122,0
-5.639615735931709,40.504056744509214,52.221417044149696,-15.419009148453817,0
99.62253251793949,35.613783102393725,30.259857271672864,-92.89688385150859,0
38.75832803026072,41.548949184163135,33.1611640359718,-10.834024197408624,0
